name,keeps_birth_date,seasons_moved,goals_moved,clubs_moved,stat_rows,career_rows,honours,transfers
"Babacar Gueye","1994-12-31","2003-2007",13,"Metz",4,1,0,0
"Álex Fernández","1992-10-15","1995-2004",11,"Espanyol / Osasuna",6,3,0,0
"Eduardo Henrique","1995-05-17","2007-2009",11,"Arsenal",5,1,0,0
"Carlos García","1984-04-29","1995-1998",11,"Athletic Club",5,1,0,0
"Abdoulaye Faye","2004-09-22","2002-2013",10,"Bolton / Hull City / Istres / Lens / Newcastle / Stoke City",12,8,3,6
"Pablo Ibáñez","1998-09-20","2003-2009",10,"Albacete / Atletico Madrid / Spain",10,2,0,0
"Juan Gómez Sánchez","1981-05-29","1995-1995",10,"Celta Vigo",1,1,0,0
"Pape Sarr","2002-09-14","1999-2004",9,"Lens / Saint Etienne / Senegal",7,2,0,0
"José Luis Morales","1987-07-23","1995-1999",9,"Logroñés / Numancia / Sporting Gijon",3,2,0,0
"Jesús Vázquez","2003-01-02","2006-2008",8,"Recreativo",3,0,0,0
"Nacho","1990-01-18","1995-2004",7,"Alaves / Compostela / Levante / Malaga",6,4,0,0
"Manu Sánchez","2000-08-24","2001-2005",7,"Malaga",5,1,0,0
"Koke","1992-01-08","2002-2005",7,"Malaga / Marseille",4,2,0,0
"Fernando","1981-05-03","1995-1995",7,"Valladolid",1,1,0,0
"Sven Müller","1996-02-16","2000-2005",6,"1. FC Nürnberg / VfL Wolfsburg",6,2,0,0
"Marcão","1996-06-05","2000-2001",6,"FC St. Pauli / Spartak Moscow",2,2,0,0
"Fabinho","1993-10-23","2006-2007",6,"Toulouse",2,1,0,0
"Mamede","2002-03-18","2005-2006",6,"Cagliari",2,1,0,0
"Matteo Ferrari","1994-04-05","1999-2008",5,"AS Roma / Bari / Everton / Genoa / Inter / Parma",13,6,0,0
"Raphaël Guerreiro","1993-12-22","1996-1996",5,"Caen",1,1,0,0
"Rafinha","1992-02-12","2005-2006",4,"FC Schalke 04",5,1,0,0
"Jamie Lawrence","2002-11-10","1996-2000",4,"Bradford City / Leicester",3,1,0,0
"Matthias Zimmermann","1992-06-16","1999-2000",4,"Unterhaching",2,0,0,0
"Mohamed Sylla","2004-01-30","1995-1995",4,"Martigues",1,1,0,0
"Alan Smith","1980-10-28","1991-1991",4,"Arsenal",1,1,0,0
"Javi Navarro","2004-02-24","1995-2006",3,"Sevilla / Valencia",9,2,0,0
"César Palacios","2004-11-11","2000-2008",3,"Numancia / Osasuna",6,2,0,0
"Jacob Laursen","1994-11-17","1996-2001",3,"Denmark / Derby County / Leicester",6,1,0,0
"Andreas Müller","2000-07-20","1995-1999",3,"FC Schalke 04",5,1,0,0
"Javi López","1986-01-21","1996-1998",3,"Deportivo La Coruna / Racing Santander / Tenerife",4,3,0,0
"Luis Hernández","1989-04-14","1998-2002",3,"Mexico",2,0,0,0
"Mikael Nilsson","1978-06-24","1991-1992",3,"Göteborg",2,0,0,0
"Tommy Smith","1992-04-14","1999-2006",3,"Watford",2,2,0,0
"Ibrahima Baldé","2003-01-17","2009-2009",3,"Atletico Madrid",1,1,0,0
"Hans Sarpei","1998-08-22","2001-2010",2,"Bayer Leverkusen / FC Schalke 04 / Ghana / VfL Wolfsburg",12,3,0,0
"Raúl Jiménez","2006-02-16","2014-2018",2,"Mexico",4,0,0,0
"Juanfran","1985-01-09","1997-1999",2,"Celta Vigo / Valencia",3,2,0,0
"Djibril Sidibé","1992-07-29","2001-2004",2,"Bastia / Monaco",2,1,0,0
"Rafael Ratão","1995-11-30","2004-2005",2,"Messina",2,1,0,1
"Jádson","1993-08-30","2006-2007",2,"Shakhtar D.",2,0,0,0
"Luis Milla","1994-10-07","1995-2000",1,"Real Madrid / Valencia",9,2,0,0
"Rodri","1996-06-22","2004-2009",1,"Barcelona / Deportivo La Coruna / Sevilla",5,3,0,0
"Pepelu","1998-08-11","1995-1996",1,"Sevilla",2,1,0,0
"José Ángel","2003-01-20","2008-2009",1,"Sporting Gijon",2,1,0,0
"Wesley","2003-09-06","2005-2010",1,"Alaves / Werder Bremen",2,2,0,0
"Milan Gajic","1996-01-28","2009-2009",1,"Zürich",1,1,0,0
