stored_as,restored_to
"Trond Ludvigsen","Trond Fredrik Ludvigsen"
"Óscar Ayala","Óscar Omar Ayala"
"Ulrich Pen","Ulrich Le Pen"
"José Muñoz","José Jorge Saavedra Muñoz"
"Carlos Álvarez","Carlos Pérez Álvarez"
"Carlos Álvarez","Carlos Pérez Álvarez"
"Aziz Askar","Aziz Ben Askar"
"Julio Rossi","Julio Hernán Rossi"
"José Ribera","José Luis Ribera"
"Jorge Martínez","Jorge Daniel Martínez"
"César Mendiondo","César González Mendiondo"
"Javier Gómez","Javier Torres Gómez"
"Ramón Quintana","Ramón de Quintana"
"Miguel Benítez","Miguel Ángel Benítez"
"David Magalhães","David Dinis Magalhães"
"Pape Diop","Pape Malick Diop"
"Óscar Marcos","Óscar de Marcos"
"Iván López","Iván Alonso López"
"Duccio Innocenti","Duccio Degli Innocenti"
"Rubén González","Rubén Estévez González"
"Bekir Has","Bekir Ozan Has"
"Rubén González","Rubén Estévez González"
"Allan Jepsen","Allan K. Jepsen"
"José García","José Mari García"
"Juan Caffa","Juan Pablo Caffa"
"John Mikel","John Obi Mikel"
"Morten Nielsen","Morten Koch Nielsen"
"Juan Moreno","Juan Carlos Moreno"
"Eloge Yamissi","Eloge Enza Yamissi"
"Jorge Sáenz","Jorge Pérez Sáenz"
"Ahmed Madouni","Ahmed Reda Madouni"
"Pape Diouf","Pape Paté Diouf"
"Pedro Martínez","Pedro González Martínez"
"Guillermo Rodríguez","Guillermo Daniel Rodríguez"
"Carlos Cano","Carlos David Cano"
"Manu Moral","Manu del Moral"
"Rubén Red","Rubén de la Red"
"Juan Moreno","Juan Carlos Moreno"
"Jelle Rouwelaar","Jelle ten Rouwelaar"
"Juan Elorriaga","Juan Eleder Acedo Elorriaga"
"Jan Hesselink","Jan Vennegoor of Hesselink"
"Luis Moreno","Luis Antonio Moreno"
"Alfonso Lucia","Alfonso De Lucia"
"José Sánchez","José Miguel Zafra Sánchez"
"Ion Goikoetxea","Ion Andoni Goikoetxea"
"Bjørn Kvarme","Bjørn Tore Kvarme"
"Mazhar Rahman","Mazhar Abdel Rahman"
"Juan Canales","Juan Garrido Canales"
"Raffaele Fusco","Raffaele Di Fusco"
"Pape Diop","Pape Seydou Diop"
"Javier García","Javier Prats García"
"Paolo Canio","Paolo Di Canio"
"Víctor Mestre","Víctor Torres Mestre"
"Ivone Franceschi","Ivone De Franceschi"
"Hamed Traorè","Hamed Junior Traorè"
"Jorge Garcia","Jorge Ordóñez Garcia"
"Jimmy Hasselbaink","Jimmy Floyd Hasselbaink"
"Jesús Cota","Jesús Diego Cota"
"Mustafa Haddaoui","Mustafa El Haddaoui"
"Pedro Muñoz","Pedro López Muñoz"
"Andrés Rosa","Andrés de la Rosa"
"Juan Ablanedo","Juan Carlos Ablanedo"
"Julio León","Julio César de León"
"Giampaolo Magno","Giampaolo Di Magno"
"Ahmed Madani","Ahmed Jamil Madani"
"Marcelo Moreno","Marcelo Martins Moreno"
"Carlos Cobo","Carlos Muñoz Cobo"
"José Ruiz","José Miguel Pérez Ruiz"
"Pablo Iniesta","Pablo Sanz Iniesta"
"Francisco Antón","Francisco José Antón"
"Santiago Herranz","Santiago Revilla Herranz"
"Marcelo Lopes","Marcelo Gonçalves Costa Lopes"
"José Luque","José Antonio Luque"
"Moisés Goya","Moisés Álvarez Goya"
"Pedro Martínez","Pedro González Martínez"
"Julio Santos","Julio dos Santos"
"Juan Jayo","Juan José Jayo"
"Jon Høiland","Jon Inge Høiland"
"Pier Nicoli","Pier Luigi Nicoli"
"Igor Camargo","Igor de Camargo"
"José Luque","José Juan Luque"
"Abdou Traoré","Abdou Razack Traoré"
"Pedro Henriques","Pedro Ricardo Quintela Henriques"
"José Cevallos","José Francisco Cevallos"
"Walid Khatroushi","Walid Mhadeb El Khatroushi"
"Issoufou Garba","Issoufou Boubacar Garba"
"Félix Ettien","Félix Dja Ettien"
"Mohamed Zemmamouche","Mohamed Lamine Zemmamouche"
"Jorge Sáenz","Jorge Pérez Sáenz"
"José Luque","José Antonio Luque"
"Stéphane Heyden","Stéphane Van Der Heyden"
"Juan Serrizuela","Juan José Serrizuela"
"Marwan Mabrouk","Marwan Al Mabrouk"
"Julio Valdés","Julio Dely Valdés"
"Guillermo Rodríguez","Guillermo Daniel Rodríguez"
"Eric Meir","Eric Van Meir"
"Edmilson Pimenta","Edmilson Gonçalves Pimenta"
"José Cuesta","José de la Cuesta"
"Frédéric Rocha","Frédéric Da Rocha"
"José Fuenzalida","José Pedro Fuenzalida"
"Hawar Mohammed","Hawar Mulla Mohammed"
"Carlos Espínola","Carlos González Espínola"
"Jorge Casanova","Jorge Daniel Casanova"
"Berry Aerle","Berry van Aerle"
