outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Arda Güler","Süper Lig",2022,20,4,"Fenerbahçe",player_stats,""
resolved,"Arkadiusz Milik","Eredivisie",2014,21,11,"Ajax",player_stats,""
resolved,"Arkadiusz Milik","Eredivisie",2015,31,21,"Ajax",player_stats,""
resolved,"Armando Broja","Eredivisie",2020,30,10,"Vitesse",player_stats,""
resolved,"Armel Bella-Kotchap","Eredivisie",2023,4,0,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Artem Dzyuba","UEFA Europa League",2006,1,0,"Spartak Moscow",player_stats,""
resolved,"Artem Dzyuba","UEFA Europa League",2007,6,2,"Spartak Moscow",player_stats,""
resolved,"Artem Dzyuba","UEFA Europa League",2008,2,2,"Spartak Moscow",player_stats,""
resolved,"Artem Dzyuba","UEFA Champions League",2012,4,0,"Spartak Moscow",player_stats,""
resolved,"Artem Dzyuba","UEFA Champions League",2019,6,2,"Zenit",player_stats~,"Zenit S-Pb"
resolved,"Artem Dzyuba","UEFA Champions League",2020,5,1,"Zenit",player_stats~,"Zenit S-Pb"
resolved,"Artem Dzyuba","UEFA Champions League",2021,6,0,"Zenit",player_stats~,"Zenit S-Pb"
resolved,"Artem Dzyuba","Süper Lig",2022,4,1,"Adana Demirspor",teams,""
resolved,"Arthur Cabral","Primeira Liga",2023,28,6,"Benfica",player_stats,""
resolved,"Arthur Cabral","Primeira Liga",2024,21,2,"Benfica",player_stats,""
resolved,"Arturo Vidal","UEFA Europa League",2007,9,0,"Bayer Leverkusen",player_stats,"Leverkusen"
resolved,"Ashley Young","Championship",2004,34,0,"Watford",player_stats,""
resolved,"Ashley Young","Championship",2005,39,13,"Watford",player_stats,""
resolved,"Ashley Young","UEFA Europa League",2008,5,0,"Aston Villa",player_stats,""
resolved,"Ashley Young","Championship",2025,13,0,"Ipswich",player_stats,""
resolved,"Attila Szalai","Süper Lig",2021,31,1,"Fenerbahçe",player_stats,""
resolved,"Attila Szalai","Süper Lig",2022,32,2,"Fenerbahçe",player_stats,""
resolved,"Attila Szalai","Süper Lig",2025,15,0,"Kasimpasa",teams,""
resolved,"Axel Tuanzebe","Championship",2017,5,0,"Aston Villa",player_stats,""
resolved,"Axel Tuanzebe","Championship",2018,25,0,"Aston Villa",player_stats,""
resolved,"Axel Tuanzebe","Championship",2022,4,0,"Stoke City",player_stats,""
resolved,"Axel Tuanzebe","Championship",2023,18,0,"Ipswich",player_stats,""
