outcome,player,league,season,apps,goals,club,name_source,transfermarkt_name
resolved,"Jota Silva","Süper Lig",2025,18,5,"Beşiktaş",player_stats,"Besiktas"
resolved,"Juan Bernat","Primeira Liga",2023,3,0,"Benfica",player_stats,""
resolved,"Juan Mata","UEFA Europa League",2008,6,1,"Valencia",player_stats,""
resolved,"Juan Mata","Süper Lig",2022,16,3,"Galatasaray",player_stats,""
resolved,"Juan Quintero","Primeira Liga",2014,20,2,"Porto",player_stats,""
resolved,"Jude Bellingham","Championship",2019,41,4,"Birmingham",player_stats,""
resolved,"Julian Weigl","Primeira Liga",2019,18,1,"Benfica",player_stats,""
resolved,"Julian Weigl","Primeira Liga",2020,28,0,"Benfica",player_stats,""
resolved,"Julian Weigl","Primeira Liga",2021,29,2,"Benfica",player_stats,""
resolved,"Julian Weigl","Primeira Liga",2022,2,0,"Benfica",player_stats,""
resolved,"Junior Firpo","Championship",2023,26,0,"Leeds",player_stats,""
resolved,"Junior Firpo","Championship",2024,32,4,"Leeds",player_stats,""
resolved,"Jurriën Timber","Eredivisie",2020,20,1,"Ajax",player_stats,""
resolved,"Jurriën Timber","Eredivisie",2021,30,3,"Ajax",player_stats,""
resolved,"Jurriën Timber","Eredivisie",2022,34,2,"Ajax",player_stats,""
resolved,"Justin Kluivert","Eredivisie",2016,14,2,"Ajax",player_stats,""
resolved,"Justin Kluivert","Eredivisie",2017,30,10,"Ajax",player_stats,""
resolved,"Kader Meïté","Saudi Pro League",2025,5,1,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Kalidou Koulibaly","Saudi Pro League",2023,30,2,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Kalidou Koulibaly","Saudi Pro League",2024,30,2,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Kalidou Koulibaly","Saudi Pro League",2025,18,1,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Kalvin Phillips","Championship",2015,10,0,"Leeds",player_stats,""
resolved,"Kalvin Phillips","Championship",2016,33,1,"Leeds",player_stats,""
resolved,"Kalvin Phillips","Championship",2017,41,7,"Leeds",player_stats,""
resolved,"Kalvin Phillips","Championship",2018,42,1,"Leeds",player_stats,""
resolved,"Kalvin Phillips","Championship",2019,37,2,"Leeds",player_stats,""
resolved,"Kalvin Phillips","Championship",2025,3,0,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Kamaldeen Sulemana","Championship",2023,25,0,"Southampton",player_stats,""
resolved,"Karim Adeyemi","Bundesliga",2019,10,1,"FC Liefering",teams,""
resolved,"Karim Benzema","Saudi Pro League",2023,21,9,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"Karim Benzema","Saudi Pro League",2024,29,21,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"Karol Linetty","Süper Lig",2025,25,0,"Kocaelispor",teams,""
resolved,"Keane Lewis-Potter","Championship",2019,21,2,"Hull City",player_stats,""
resolved,"Keane Lewis-Potter","Championship",2021,46,12,"Hull City",player_stats,""
resolved,"Keita Baldé","Süper Lig",2024,11,1,"Sivasspor",player_stats,""
resolved,"Kelechi Iheanacho","Championship",2023,23,5,"Leicester",player_stats,""
resolved,"Kelechi Iheanacho","Championship",2024,15,1,"Middlesbrough",player_stats,""
resolved,"Kemar Roofe","Championship",2017,36,11,"Leeds",player_stats,""
resolved,"Kemar Roofe","Championship",2018,32,14,"Leeds",player_stats,""
resolved,"Kenneth Taylor","Eredivisie",2020,3,0,"Ajax",player_stats,""
resolved,"Kenneth Taylor","Eredivisie",2021,13,1,"Ajax",player_stats,""
resolved,"Kenneth Taylor","Eredivisie",2022,32,8,"Ajax",player_stats,""
resolved,"Kenneth Taylor","Eredivisie",2023,34,5,"Ajax",player_stats,""
resolved,"Kenneth Taylor","Eredivisie",2024,33,9,"Ajax",player_stats,""
resolved,"Kenneth Taylor","Eredivisie",2025,15,2,"Ajax",player_stats,""
resolved,"Kenny Tete","Eredivisie",2014,5,0,"Ajax",player_stats,""
resolved,"Kenny Tete","Eredivisie",2015,21,0,"Ajax",player_stats,""
resolved,"Kenny Tete","Eredivisie",2016,5,0,"Ajax",player_stats,""
resolved,"Kenny Tete","Championship",2021,20,2,"Fulham",player_stats,""
resolved,"Kerem Demirbay","Süper Lig",2023,34,6,"Galatasaray",player_stats,""
resolved,"Kerem Demirbay","Süper Lig",2024,20,0,"Galatasaray",player_stats,""
resolved,"Kévin Gameiro","UEFA Europa League",2005,3,2,"Strasbourg",alias,"R. Strasbourg"
resolved,"Kevin Strootman","Eredivisie",2007,3,0,"Sparta Rotterdam",teams,"Sparta R."
resolved,"Kevin Strootman","Eredivisie",2008,25,2,"Sparta Rotterdam",teams,"Sparta R."
resolved,"Kevin Strootman","Eredivisie",2009,28,2,"Sparta Rotterdam",teams,"Sparta R."
resolved,"Kevin Strootman","Eredivisie",2012,32,5,"PSV Eindhoven",player_stats,""
resolved,"Kieran Trippier","Championship",2012,45,0,"Burnley",player_stats,""
resolved,"Kieran Trippier","Championship",2013,41,1,"Burnley",player_stats,""
resolved,"Kiernan Dewsbury-Hall","Championship",2020,39,3,"Luton",player_stats,""
resolved,"Kiernan Dewsbury-Hall","Championship",2023,44,12,"Leicester",player_stats,""
resolved,"Kiliann Sildillia","Eredivisie",2025,21,2,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Kingsley Coman","Saudi Pro League",2025,30,10,"Al-Nassr",teams,""
resolved,"Ko Itakura","Eredivisie",2019,22,0,"Groningen",player_stats,"FC Groningen"
resolved,"Ko Itakura","Eredivisie",2020,34,1,"Groningen",player_stats,"FC Groningen"
resolved,"Ko Itakura","Eredivisie",2025,18,1,"Ajax",player_stats,""
resolved,"Konrad Laimer","Bundesliga",2014,8,0,"FC Liefering",teams,""
resolved,"Kristjan Asllani","Süper Lig",2025,14,2,"Beşiktaş",player_stats,"Besiktas"
resolved,"Krzysztof Piatek","Süper Lig",2023,34,17,"Başakşehir",player_stats,"Basaksehir"
resolved,"Krzysztof Piatek","Süper Lig",2024,33,21,"Başakşehir",player_stats,"Basaksehir"
resolved,"Kyle Walker","Championship",2009,26,0,"Sheffield Utd",alias,"Sheff Utd"
resolved,"Kyle Walker","Championship",2010,20,0,"QPR",player_stats,""
resolved,"Kyle Walker-Peters","Championship",2023,43,3,"Southampton",player_stats,""
resolved,"Kyogo Furuhashi","Championship",2025,28,1,"Birmingham",player_stats,""
resolved,"Kyriakos Papadopoulos","Saudi Pro League",2021,1,0,"Al-Fayha",teams,""
resolved,"Landry Dimata","UEFA Champions League",2025,6,0,"Samsunspor",player_stats,""
resolved,"Lasse Schöne","Eredivisie",2007,34,7,"De Graafschap",teams,""
resolved,"Lasse Schöne","Eredivisie",2009,5,0,"NEC Nijmegen",teams,""
resolved,"Lasse Schöne","Eredivisie",2010,34,7,"NEC Nijmegen",teams,""
resolved,"Lasse Schöne","Eredivisie",2011,34,11,"NEC Nijmegen",teams,""
resolved,"Lasse Schöne","Eredivisie",2013,29,9,"Ajax",player_stats,""
resolved,"Lasse Schöne","Eredivisie",2014,29,8,"Ajax",player_stats,""
resolved,"Lasse Schöne","Eredivisie",2015,24,4,"Ajax",player_stats,""
resolved,"Lasse Schöne","Eredivisie",2016,27,7,"Ajax",player_stats,""
resolved,"Lasse Schöne","Eredivisie",2017,30,10,"Ajax",player_stats,""
resolved,"Lasse Schöne","Eredivisie",2018,30,5,"Ajax",player_stats,""
resolved,"Lasse Schöne","Eredivisie",2020,12,1,"Heerenveen",player_stats,""
resolved,"Lasse Schöne","Eredivisie",2022,32,1,"NEC Nijmegen",teams,""
resolved,"Lasse Schöne","Eredivisie",2023,23,1,"NEC Nijmegen",teams,""
resolved,"Lasse Schöne","Eredivisie",2024,17,0,"NEC Nijmegen",teams,""
resolved,"Layvin Kurzawa","Primeira Liga",2024,4,0,"Boavista",player_stats,""
resolved,"Lazar Markovic","Primeira Liga",2013,26,5,"Benfica",player_stats,""
resolved,"Lazar Markovic","Süper Lig",2015,14,0,"Fenerbahçe",player_stats,"Fenerbahce"
resolved,"Lazar Markovic","Primeira Liga",2016,6,1,"Sporting CP",player_stats,""
resolved,"Leandro Barreiro","Primeira Liga",2024,27,3,"Benfica",player_stats,""
resolved,"Leandro Barreiro","Primeira Liga",2025,31,3,"Benfica",player_stats,""
resolved,"Leif Davis","Championship",2018,4,0,"Leeds",player_stats,""
resolved,"Leif Davis","Championship",2019,3,0,"Leeds",player_stats,""
resolved,"Leif Davis","Championship",2021,12,0,"Bournemouth",player_stats,""
resolved,"Leif Davis","Championship",2023,43,2,"Ipswich",player_stats,""
resolved,"Leif Davis","Championship",2025,37,2,"Ipswich",player_stats,""
resolved,"Léo Dubois","Süper Lig",2022,21,1,"Galatasaray",player_stats,""
resolved,"Leonardo Bonucci","Süper Lig",2023,8,0,"Fenerbahçe",player_stats,"Fenerbahce"
resolved,"Léo Scienza","Championship",2025,37,7,"Southampton",player_stats,""
resolved,"Leroy Sané","Süper Lig",2025,28,7,"Galatasaray",player_stats,""
resolved,"Levi Colwill","Championship",2021,29,2,"Huddersfield",player_stats,""
resolved,"Lewis Cook","Championship",2014,37,0,"Leeds",player_stats,""
resolved,"Lewis Cook","Championship",2015,43,1,"Leeds",player_stats,""
resolved,"Lewis Cook","Championship",2020,31,1,"Bournemouth",player_stats,""
resolved,"Lewis Cook","Championship",2021,28,1,"Bournemouth",player_stats,""
resolved,"Lewis Dunk","Championship",2011,31,0,"Brighton",player_stats,""
resolved,"Lewis Dunk","Championship",2012,8,0,"Brighton",player_stats,""
resolved,"Lewis Dunk","Championship",2014,38,5,"Brighton",player_stats,""
resolved,"Lewis Dunk","Championship",2015,38,3,"Brighton",player_stats,""
resolved,"Lewis Dunk","Championship",2016,43,2,"Brighton",player_stats,""
resolved,"Liam Delap","Championship",2023,31,8,"Hull City",player_stats,""
resolved,"Lisandro Martínez","Eredivisie",2019,24,2,"Ajax",player_stats,""
resolved,"Lisandro Martínez","Eredivisie",2020,26,3,"Ajax",player_stats,""
resolved,"Lisandro Martínez","Eredivisie",2021,24,1,"Ajax",player_stats,""
resolved,"Lloyd Kelly","Championship",2017,11,1,"Bristol City",teams,""
resolved,"Lloyd Kelly","Championship",2018,32,1,"Bristol City",teams,""
resolved,"Lloyd Kelly","Championship",2020,36,1,"Bournemouth",player_stats,""
resolved,"Lloyd Kelly","Championship",2021,41,1,"Bournemouth",player_stats,""
resolved,"Loïs Openda","Eredivisie",2020,33,10,"Vitesse",player_stats,""
resolved,"Loïs Openda","Eredivisie",2021,33,18,"Vitesse",player_stats,""
resolved,"Lucas Boyé","Championship",2019,19,0,"Reading",player_stats,""
resolved,"Lucas Ocampos","Eredivisie",2022,4,0,"Ajax",player_stats,""
resolved,"Lucas Pérez","Eredivisie",2024,2,0,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Lucas Torreira","Süper Lig",2022,31,0,"Galatasaray",player_stats,""
resolved,"Lucas Torreira","Süper Lig",2023,35,1,"Galatasaray",player_stats,""
resolved,"Lucas Torreira","Süper Lig",2024,32,5,"Galatasaray",player_stats,""
resolved,"Lucas Torreira","Süper Lig",2025,30,3,"Galatasaray",player_stats,""
resolved,"Luca Waldschmidt","Primeira Liga",2020,27,7,"Benfica",player_stats,""
resolved,"Luca Waldschmidt","Primeira Liga",2021,2,2,"Benfica",player_stats,""
resolved,"Luciano Vietto","Primeira Liga",2019,24,4,"Sporting CP",alias,"Sporting"
resolved,"Luciano Vietto","Primeira Liga",2020,3,1,"Sporting CP",alias,"Sporting"
resolved,"Luciano Vietto","Saudi Pro League",2020,27,4,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Luciano Vietto","Saudi Pro League",2022,20,3,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Luis Díaz","Primeira Liga",2020,30,6,"Porto",player_stats,""
resolved,"Luis Díaz","Primeira Liga",2021,18,14,"Porto",player_stats,""
resolved,"Luís Guilherme","Primeira Liga",2025,13,1,"Sporting CP",alias,"Sporting"
resolved,"Luis Sinisterra","Eredivisie",2019,21,5,"Feyenoord",player_stats,""
resolved,"Luis Sinisterra","Eredivisie",2020,20,3,"Feyenoord",player_stats,""
resolved,"Luis Sinisterra","Eredivisie",2021,30,12,"Feyenoord",player_stats,""
resolved,"Luis Sinisterra","Championship",2023,2,1,"Leeds",player_stats,""
resolved,"Luis Suárez","UEFA Europa League",2008,10,5,"Ajax",player_stats,""
resolved,"Luis Suárez","Eredivisie",2008,31,22,"Ajax",player_stats,""
resolved,"Luis Suárez","Eredivisie",2009,33,35,"Ajax",player_stats,""
resolved,"Luis Suárez","Eredivisie",2010,13,7,"Ajax",player_stats,""
resolved,"Luis Suárez","Primeira Liga",2025,32,28,"Sporting CP",alias,"Sporting"
resolved,"Luiz Felipe","Saudi Pro League",2023,18,0,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"Luiz Felipe","Saudi Pro League",2024,1,0,"Al-Ittihad FC",teams,"Al-Ittihad"
resolved,"Luka Jović","Primeira Liga",2016,1,0,"Benfica",player_stats,""
resolved,"Luka Modrić","UEFA Europa League",2006,2,0,"Dinamo Zagreb",player_stats,""
resolved,"Luka Modrić","UEFA Europa League",2007,6,1,"Dinamo Zagreb",player_stats,""
resolved,"Luka Modrić","UEFA Europa League",2008,4,1,"Tottenham",player_stats,""
resolved,"Lukas Nmecha","Championship",2018,41,3,"Preston",teams,""
resolved,"Lukas Nmecha","Championship",2019,11,0,"Middlesbrough",player_stats,""
resolved,"Lukas Podolski","UEFA Europa League",2007,12,5,"Bayern München",player_stats,"Bayern Munich"
resolved,"Lukas Podolski","Süper Lig",2015,30,13,"Galatasaray",player_stats,""
resolved,"Lukas Podolski","Süper Lig",2016,26,7,"Galatasaray",player_stats,""
resolved,"Lukas Podolski","Süper Lig",2019,9,2,"Antalyaspor",teams,""
resolved,"Lukas Podolski","Süper Lig",2020,31,4,"Antalyaspor",teams,""
resolved,"Luka Sucic","Bundesliga",2020,17,1,"FC Liefering",teams,""
resolved,"Lutsharel Geertruida","Eredivisie",2018,2,0,"Feyenoord",player_stats,""
resolved,"Lutsharel Geertruida","Eredivisie",2019,17,0,"Feyenoord",player_stats,""
resolved,"Lutsharel Geertruida","Eredivisie",2020,30,5,"Feyenoord",player_stats,""
resolved,"Lutsharel Geertruida","Eredivisie",2021,28,3,"Feyenoord",player_stats,""
resolved,"Lutsharel Geertruida","Eredivisie",2022,30,3,"Feyenoord",player_stats,""
resolved,"Lutsharel Geertruida","Eredivisie",2023,34,8,"Feyenoord",player_stats,""
resolved,"Lutsharel Geertruida","Eredivisie",2024,3,0,"Feyenoord",player_stats,""
resolved,"Luuk de Jong","Eredivisie",2008,14,2,"De Graafschap",teams,""
resolved,"Luuk de Jong","Eredivisie",2010,32,12,"Twente",player_stats,"FC Twente"
resolved,"Luuk de Jong","Eredivisie",2011,31,25,"Twente",player_stats,"FC Twente"
resolved,"Luuk de Jong","Eredivisie",2014,32,20,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Luuk de Jong","Eredivisie",2015,33,26,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Luuk de Jong","Eredivisie",2016,32,8,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Luuk de Jong","Eredivisie",2017,28,12,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Luuk de Jong","Eredivisie",2018,34,28,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Luuk de Jong","Eredivisie",2022,24,14,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Luuk de Jong","Eredivisie",2023,34,29,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Luuk de Jong","Eredivisie",2024,31,14,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Luuk de Jong","Primeira Liga",2025,5,1,"Porto",player_stats,""
resolved,"Makoto Hasebe","UEFA Europa League",2008,6,1,"VfL Wolfsburg",player_stats,""
resolved,"Malang Sarr","Primeira Liga",2020,8,0,"Porto",player_stats,""
resolved,"Malcom","Saudi Pro League",2023,31,15,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Malcom","Saudi Pro League",2024,30,9,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Malcom","Saudi Pro League",2025,33,7,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Malick Yalcouyé","Championship",2025,33,1,"Swansea",player_stats,""
resolved,"Malik Tillman","Eredivisie",2023,28,9,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Malik Tillman","Eredivisie",2024,26,12,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Mamadou Sakho","UEFA Europa League",2008,7,0,"Paris Saint Germain",player_stats,"Paris SG"
resolved,"Manor Solomon","Championship",2024,39,10,"Leeds",player_stats,""
resolved,"Manuel Ugarte","Primeira Liga",2022,31,0,"Sporting CP",alias,"Sporting"
resolved,"Marcão","Primeira Liga",2017,20,0,"Rio Ave",player_stats,""
resolved,"Marcão","Primeira Liga",2018,17,2,"Chaves",teams,""
resolved,"Marcão","Süper Lig",2018,15,0,"Galatasaray",player_stats,""
resolved,"Marcão","Süper Lig",2019,28,0,"Galatasaray",player_stats,""
resolved,"Marcão","Süper Lig",2020,37,0,"Galatasaray",player_stats,""
resolved,"Marcão","Süper Lig",2021,26,0,"Galatasaray",player_stats,""
resolved,"Marc Bartra","Süper Lig",2022,29,4,"Trabzonspor",player_stats,""
resolved,"Marcelo Brozović","Saudi Pro League",2023,30,4,"Al-Nassr",teams,""
resolved,"Marcelo Brozović","Saudi Pro League",2024,28,2,"Al-Nassr",teams,""
resolved,"Marcelo Brozović","Saudi Pro League",2025,29,0,"Al-Nassr",teams,""
resolved,"Marcel Sabitzer","Bundesliga",2011,20,5,"Admira Wacker",player_stats,""
resolved,"Marcel Sabitzer","Bundesliga",2012,16,3,"Admira Wacker",player_stats,""
resolved,"Marcel Sabitzer","Bundesliga",2014,33,19,"RB Leipzig",player_stats,"Leipzig"
resolved,"Marc Guéhi","Championship",2019,12,0,"Swansea",player_stats,""
resolved,"Marc Guéhi","Championship",2020,40,0,"Swansea",player_stats,""
resolved,"Marco Asensio","Süper Lig",2025,25,11,"Fenerbahçe",player_stats,""
resolved,"Marcos Acuña","Primeira Liga",2017,31,4,"Sporting CP",alias,"Sporting"
resolved,"Marcos Acuña","Primeira Liga",2018,30,1,"Sporting CP",alias,"Sporting"
resolved,"Marcos Acuña","Primeira Liga",2019,24,2,"Sporting CP",alias,"Sporting"
resolved,"Marcos Alonso","Championship",2012,26,4,"Bolton",player_stats,""
resolved,"Marcos Rojo","Primeira Liga",2012,24,1,"Sporting CP",alias,"Sporting"
resolved,"Marcos Rojo","Primeira Liga",2013,24,4,"Sporting CP",alias,"Sporting"
resolved,"Marcos Senesi","Eredivisie",2019,16,1,"Feyenoord",player_stats,""
resolved,"Marcos Senesi","Eredivisie",2020,32,3,"Feyenoord",player_stats,""
resolved,"Marcos Senesi","Eredivisie",2021,32,2,"Feyenoord",player_stats,""
resolved,"Marcus Edwards","Championship",2017,1,0,"Norwich",player_stats,""
resolved,"Marcus Edwards","Eredivisie",2018,25,2,"Excelsior",teams,""
resolved,"Marcus Edwards","Primeira Liga",2019,26,7,"Guimaraes",player_stats~,"Vit. Guimarães"
resolved,"Marcus Edwards","Primeira Liga",2020,33,3,"Guimaraes",player_stats~,"Vit. Guimarães"
resolved,"Marcus Edwards","Primeira Liga",2022,33,7,"Sporting CP",alias,"Sporting"
resolved,"Marcus Edwards","Primeira Liga",2023,26,4,"Sporting CP",alias,"Sporting"
resolved,"Marcus Edwards","Championship",2024,14,1,"Burnley",player_stats,""
resolved,"Marcus Edwards","Primeira Liga",2024,6,1,"Sporting CP",alias,"Sporting"
resolved,"Marcus Tavernier","Championship",2017,5,1,"Milton Keynes Dons",teams,"MK Dons"
resolved,"Marcus Tavernier","Championship",2018,20,3,"Middlesbrough",player_stats,""
resolved,"Marcus Tavernier","Championship",2019,37,3,"Middlesbrough",player_stats,""
resolved,"Marcus Tavernier","Championship",2020,29,3,"Middlesbrough",player_stats,""
resolved,"Marcus Tavernier","Championship",2021,44,5,"Middlesbrough",player_stats,""
resolved,"Mario Balotelli","Süper Lig",2021,31,18,"Adana Demirspor",teams,""
resolved,"Mario Balotelli","Süper Lig",2022,2,0,"Adana Demirspor",teams,""
resolved,"Mario Balotelli","Süper Lig",2023,16,7,"Adana Demirspor",teams,""
resolved,"Mario Götze","Eredivisie",2020,18,5,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Mario Götze","Eredivisie",2021,29,4,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Mario Lemina","Süper Lig",2019,20,0,"Galatasaray",player_stats,""
resolved,"Mario Lemina","Süper Lig",2024,12,1,"Galatasaray",player_stats,""
resolved,"Mario Lemina","Süper Lig",2025,27,2,"Galatasaray",player_stats,""
resolved,"Marko Arnautovic","Eredivisie",2007,14,0,"Twente",player_stats,"FC Twente"
resolved,"Marko Arnautovic","UEFA Europa League",2007,1,0,"Twente",player_stats,"FC Twente"
resolved,"Marko Arnautovic","UEFA Europa League",2008,7,1,"Twente",player_stats,"FC Twente"
resolved,"Marko Arnautovic","Eredivisie",2008,28,12,"Twente",player_stats,"FC Twente"
resolved,"Marko Grujić","Championship",2017,13,1,"Cardiff",player_stats,""
resolved,"Marko Grujić","Primeira Liga",2020,23,2,"Porto",player_stats,""
resolved,"Marko Grujić","Primeira Liga",2021,21,1,"Porto",player_stats,""
resolved,"Marko Grujić","Primeira Liga",2022,24,1,"Porto",player_stats,""
resolved,"Marko Grujić","Primeira Liga",2023,10,0,"Porto",player_stats,""
resolved,"Marko Grujić","Primeira Liga",2024,2,0,"Porto",player_stats,""
resolved,"Mark Uth","Eredivisie",2012,3,0,"Heerenveen",player_stats,""
resolved,"Mark Uth","Eredivisie",2014,32,15,"Heerenveen",player_stats,""
resolved,"Marten de Roon","Eredivisie",2013,31,3,"Heerenveen",player_stats,""
resolved,"Marten de Roon","Eredivisie",2014,32,1,"Heerenveen",player_stats,""
resolved,"Marten de Roon","Championship",2017,1,0,"Middlesbrough",player_stats,""
resolved,"Martin Ødegaard","Eredivisie",2017,24,2,"Heerenveen",player_stats,""
resolved,"Martin Ødegaard","Eredivisie",2018,31,8,"Vitesse",player_stats,""
resolved,"Mason Holgate","Championship",2018,19,1,"West Brom",player_stats,""
resolved,"Mason Holgate","Championship",2024,26,1,"West Brom",player_stats,""
resolved,"Mason Mount","Eredivisie",2017,29,9,"Vitesse",player_stats,""
resolved,"Mason Mount","Championship",2018,35,8,"Derby County",player_stats~,"Derby"
resolved,"Mateus Fernandes","Primeira Liga",2024,1,0,"Sporting CP",alias,"Sporting"
resolved,"Mateus Fernandes","Championship",2025,3,0,"Southampton",player_stats,""
resolved,"Matheus Nunes","Primeira Liga",2019,10,0,"Sporting CP",alias,"Sporting"
resolved,"Matheus Nunes","Primeira Liga",2020,31,3,"Sporting CP",alias,"Sporting"
resolved,"Matheus Nunes","Primeira Liga",2021,33,3,"Sporting CP",alias,"Sporting"
resolved,"Matheus Nunes","Primeira Liga",2022,2,1,"Sporting CP",alias,"Sporting"
resolved,"Matheus Pereira","Primeira Liga",2015,8,0,"Sporting CP",alias,"Sporting"
resolved,"Matheus Pereira","Primeira Liga",2016,7,1,"Sporting CP",alias,"Sporting"
resolved,"Matheus Pereira","Championship",2019,42,8,"West Brom",player_stats,""
resolved,"Matheus Pereira","Saudi Pro League",2021,21,2,"Al-Hilal Saudi FC",teams~,"Al-Hilal"
resolved,"Mathias Jensen","Championship",2019,39,1,"Brentford",player_stats,""
resolved,"Mathias Jensen","Championship",2020,45,2,"Brentford",player_stats,""
resolved,"Mathieu Valbuena","UEFA Europa League",2007,4,0,"Marseille",player_stats,""
resolved,"Mathieu Valbuena","UEFA Europa League",2008,5,0,"Marseille",player_stats,""
resolved,"Mathieu Valbuena","Süper Lig",2017,29,7,"Fenerbahçe",player_stats,""
resolved,"Mathieu Valbuena","Süper Lig",2018,22,3,"Fenerbahçe",player_stats,""
resolved,"Mats Hummels","UEFA Europa League",2008,1,0,"Borussia Dortmund",player_stats,"Dortmund"
resolved,"Mats Wieffer","Eredivisie",2023,29,5,"Feyenoord",player_stats,""
resolved,"Matt Doherty","Championship",2014,33,0,"Wolves",player_stats,""
resolved,"Matt Doherty","Championship",2015,34,2,"Wolves",player_stats,""
resolved,"Matt Doherty","Championship",2016,42,4,"Wolves",player_stats,""
resolved,"Matt Doherty","Championship",2017,45,4,"Wolves",player_stats,""
resolved,"Mattéo Guendouzi","Süper Lig",2025,15,1,"Fenerbahçe",player_stats,""
resolved,"Matthijs de Ligt","Eredivisie",2016,11,2,"Ajax",player_stats,""
resolved,"Matthijs de Ligt","Eredivisie",2017,33,3,"Ajax",player_stats,""
resolved,"Matthijs de Ligt","Eredivisie",2018,33,3,"Ajax",player_stats,""
resolved,"Matt O'Riley","Championship",2019,1,0,"Fulham",player_stats,""
resolved,"Matt Targett","Championship",2017,18,1,"Fulham",player_stats,""
resolved,"Matt Targett","Championship",2025,42,4,"Middlesbrough",player_stats,""
resolved,"Matty Cash","Championship",2016,28,0,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Matty Cash","Championship",2017,23,2,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Matty Cash","Championship",2018,36,6,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Matty Cash","Championship",2019,42,3,"Nottingham Forest",alias,"Nott'm Forest"
resolved,"Mauro Icardi","Süper Lig",2022,24,22,"Galatasaray",player_stats,""
resolved,"Mauro Icardi","Süper Lig",2023,34,25,"Galatasaray",player_stats,""
resolved,"Mauro Icardi","Süper Lig",2024,7,4,"Galatasaray",player_stats,""
resolved,"Mauro Icardi","Süper Lig",2025,31,14,"Galatasaray",player_stats,""
resolved,"Max Aarons","Championship",2018,41,2,"Norwich",player_stats,""
resolved,"Max Aarons","Championship",2020,45,2,"Norwich",player_stats,""
resolved,"Max Aarons","Championship",2022,45,1,"Norwich",player_stats,""
resolved,"Maxi Gómez","Süper Lig",2022,26,5,"Trabzonspor",player_stats,""
resolved,"Maxi Gómez","Süper Lig",2023,1,0,"Trabzonspor",player_stats,""
resolved,"Maxime Estève","Championship",2024,46,1,"Burnley",player_stats,""
resolved,"M'Baye Niang","Saudi Pro League",2020,5,0,"Al-Ahli Jeddah",teams~,"Al-Ahli"
resolved,"M'Baye Niang","Süper Lig",2023,16,8,"Adana Demirspor",teams,""
resolved,"M'Baye Niang","Süper Lig",2025,26,4,"Gençlerbirliği S.K.",teams~,"Genclerbirligi"
resolved,"Mehdi Taremi","Primeira Liga",2021,32,20,"Porto",player_stats,""
resolved,"Mehdi Taremi","Primeira Liga",2022,33,22,"Porto",player_stats,""
resolved,"Mehdi Taremi","Primeira Liga",2023,23,6,"Porto",player_stats,""
resolved,"Memphis Depay","Eredivisie",2011,8,3,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Memphis Depay","Eredivisie",2012,20,2,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Memphis Depay","Eredivisie",2013,32,12,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Memphis Depay","Eredivisie",2014,30,22,"PSV Eindhoven",player_stats~,"PSV"
resolved,"Merih Demiral","Süper Lig",2018,16,1,"Alanyaspor",player_stats,""
resolved,"Merih Demiral","Saudi Pro League",2023,20,1,"Al-Ahli Jeddah",teams~,"Al-Ahli"
resolved,"Merih Demiral","Saudi Pro League",2024,30,1,"Al-Ahli Jeddah",teams~,"Al-Ahli"
resolved,"Merih Demiral","Saudi Pro League",2025,20,2,"Al-Ahli Jeddah",teams~,"Al-Ahli"
